variable	label
bcsid	research case identifier
tc10	SINGLETON, TWIN CODE
cd10	CHECK DIGID
sex10	CHILD'S SEX
doba10	DAY OF BIRTH
dobb10	MONTH OF BIRTH
dobc10	YEAR OF BIRTH
soccode	CODE FOR PERSON CODING SOCIAL CODE
intstat	INTERVIEWER STATUS
mother	MOTHER RESPONDED TO QUESTIONS
father	FATHER RESPONDED TO QUESTIONS
other	OTHER PERSON RESPONDED TO QUESTIONS
a1_1	CHILD SAME SURNAME SINCE BIRTH
a1_2	CHILD'S NAME AT BIRTH
a1_3	CHILD'S NAME AT 5 YEARS
a1_4	COMPARISON NAME BIRTH AND 5 YEARS
a2_1	CHILD'S COUNTRY OF BIRTH
a2_2	CHILD'S COUNTRY OF BIRTH, OTHER
a2_3	YEAR OF CHILD'S ARRIVAL IN THIS COUNTRY
a2_4	ADDRESS AT TIME OF CHILD'S BIRTH
a2_5	CHILD'S ADDRESS AT 5 YEARS
a2_6	PLACE OF CHILD'S BIRTH
a3_1	CHILD LIVING IN RESIDENTIAL INSTITUTION
a3_2	INSTITUTION SPECIFIED
a4a_1	STUDY CHILD RELATIONSHIP CODE
a4a_2	STUDY CHILD SEX
a4a_3	STUDY CHILD DATE OF BIRTH (MM)
a4a_4	STUDY CHILD DATE OF BIRTH (YY)
a4a_5	2ND PERSON IN HOUSE RELATIONSHIP CODE
a4a_6	2ND PERSON IN HOUSE SEX
a4a_7	2ND PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_8	2ND PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_9	3RD PERSON IN HOUSE RELATIONSHIP CODE
a4a_10	3RD PERSON IN HOUSE SEX
a4a_11	3RD PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_12	3RD PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_13	4TH PERSON IN HOUSE RELATIONSHIP CODE
a4a_14	4TH PERSON IN HOUSE SEX
a4a_15	4TH PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_16	4TH PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_17	5TH PERSON IN HOUSE RELATIONSHIP CODE
a4a_18	5TH PERSON IN HOUSE SEX
a4a_19	5TH PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_20	5TH PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_21	6TH PERSON IN HOUSE RELATIONSHIP CODE
a4a_22	6TH PERSON IN HOUSE SEX
a4a_23	6TH PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_24	6TH PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_25	7TH PERSON IN HOUSE RELATIONSHIP CODE
a4a_26	7TH PERSON IN HOUSE SEX
a4a_27	8TH PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_28	7TH PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_29	8TH PERSON IN HOUSE RELATIONSHIP CODE
a4a_30	8TH PERSON IN HOUSE SEX
a4a_31	8TH PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_32	8TH PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_33	9TH PERSON IN HOUSE RELATIONSHIP CODE
a4a_34	9TH PERSON IN HOUSE SEX
a4a_35	9TH PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_36	9TH PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_37	10TH PERSON IN HOUSE RELATIONSHIP CODE
a4a_38	10TH PERSON IN HOUSE SEX
a4a_39	10TH PERSON IN HOUSE DATE OF BIRTH (MM)
a4a_40	10TH PERSON IN HOUSE DATE OF BIRTH (YY)
a4a_41	NUMBER OF PERSONS IN HOUSEHOLD
a4a_42	NUMBER OF CHILDREN IN HOUSEHOLD
a4b_1	1ST PERSON NOT IN HOUSE RELATIONSHIP
a4b_2	1ST PERSON NOT IN HOUSE SEX
a4b_3	1ST PERSON NOT IN HOUSE DATE OF BIRTH(MM)
a4b_4	1ST PERSON NOT IN HOUSE DATE OF BIRTH(YY)
a4b_5	1ST PERSON NOT IN HOUSE REASON ABSENCE
a4b_6	2ND PERSON NOT IN HOUSE RELATIONSHIP
a4b_7	2ND PERSON NOT IN HOUSE SEX
a4b_8	2ND PERSON NOT IN HOUSE DATE OF BIRTH(MM)
a4b_9	2ND PERSON NOT IN HOUSE DATE OF BIRTH(YY)
a4b_10	2ND PERSON NOT IN HOUSE REASON ABSENCE
a4b_11	3RD PERSON NOT IN HOUSE RELATIONSHIP
a4b_12	3RD PERSON NOT IN HOUSE SEX
a4b_13	3RD PERSON NOT IN HOUSE DATE OF BIRTH(MM)
a4b_14	3RD PERSON NOT IN HOUSE DATE OF BIRTH(YY)
a4b_15	3RD PERSON NOT IN HOUSE REASON ABSENCE
a4b_16	4TH PERSON NOT IN HOUSE RELATIONSHIP
a4b_17	4TH PERSON NOT IN HOUSE SEX
a4b_18	4TH PERSON NOT IN HOUSE DATE OF BIRTH(MM)
a4b_19	4TH PERSON NOT IN HOUSE DATE OF BIRTH(YY)
a4b_20	4TH PERSON NOT IN HOUSE REASON ABSENCE
a4b_21	TOTAL NUMBER OF PERSONS NOT IN HOUSE
a4b_22	TOTAL NUMBER OF CHILDREN NOT IN HOUSE
a5_1	RELATIONSHIP OF MOTHER FIGURE
a5_2	OTHER RELATIONSHIP OF MOTHER FIGURE
a5_3	REASON 1 FOR PAST CHANGES IN SITUATION
a5_4	REASON 2 FOR PAST CHANGES IN SITUATION
a5_5	WHEN NATURAL MOTHER AND CHILD SEPARATED
a6_1	RELATIONSHIP OF FATHER FIGURE
a6_2	OTHER RELATIONSHIP OF FATHER FIGURE
a6_3	REASON 1 FOR PAST CHANGES IN SITUATION
a6_4	REASON 2 FOR PAST CHANGES IN SITUATION
a6_5	WHEN NATURAL FATHER AND CHILD SEPATATED (YY)
a7	CHILD LIVED WITH SAME PARENTS SINCE BORN
a8_1	CHILD EVER LIVED WITH ONLY ONE PARENT
